source,target,weight,interaction
PITX3,FGG,4.0,physical association
PITX3,FLG2,4.0,physical association
PITX3,HBA1,4.0,physical association
PITX3,HBB,4.0,physical association
PITX3,HIST1H2AD,4.0,physical association
PITX3,HIST1H2BC,4.0,physical association
PITX3,HP,4.0,physical association
PITX3,HRG,4.0,physical association
PITX3,HRNR,4.0,physical association
PITX3,IGHA1,4.0,physical association
PITX3,IGHA2,4.0,physical association
PITX3,IGHG1,4.0,physical association
PITX3,IGHG2,4.0,physical association
PITX3,IGHM,4.0,physical association
PITX3,IGHV1-2,4.0,physical association
PITX3,IGHV3-23,4.0,physical association
PITX3,IGHV3-7,4.0,physical association
PITX3,IGJ,4.0,physical association
PITX3,IGKC,4.0,physical association
PITX3,IGKV2-30,4.0,physical association
PITX3,IGKV3-20,4.0,physical association
PITX3,IGKV4-1,4.0,physical association
PITX3,IGLC1,4.0,physical association
PITX3,IGLV1-51,4.0,physical association
PITX3,IGLV7-43,4.0,physical association
PITX3,ITIH1,4.0,physical association
PITX3,ITIH2,4.0,physical association
PITX3,ITIH3,4.0,physical association
PITX3,ITLN1,4.0,physical association
PITX3,KNG1,4.0,physical association
PITX3,KRT1,4.0,physical association
PITX3,KRT10,4.0,physical association
PITX3,KRT14,4.0,physical association
PITX3,KRT16,4.0,physical association
PITX3,KRT2,4.0,physical association
PITX3,KRT5,4.0,physical association
PITX3,KRT6C,4.0,physical association
PITX3,KRT9,4.0,physical association
PITX3,LBP,4.0,physical association
PITX3,MASP1,4.0,physical association
PITX3,MASP2,4.0,physical association
PITX3,MMRN1,4.0,physical association
PITX3,MPO,4.0,physical association
PITX3,MYH9,4.0,physical association
PITX3,ORM2,4.0,physical association
PITX3,PF4,4.0,physical association
PITX3,PIGR,4.0,physical association
PITX3,PIP4K2A,4.0,physical association
PITX3,PON1,4.0,physical association
PITX3,PROS1,4.0,physical association
PITX3,SAA1,4.0,physical association
PITX3,SAA4,4.0,physical association
PITX3,SDPR,4.0,physical association
PITX3,SERPINA1,4.0,physical association
PITX3,SERPINA3,4.0,physical association
PITX3,SERPINC1,4.0,physical association
PITX3,SERPIND1,4.0,physical association
PITX3,SPP2,4.0,physical association
PITX3,TFPI,4.0,physical association
PITX3,THBS1,4.0,physical association
PITX3,TNFAIP6,4.0,physical association
PITX3,TTR,4.0,physical association
PITX3,VCAN,4.0,physical association
ISG15,AAAS,311.0,physical association
ISG15,ABCF2,311.0,physical association
ISG15,ACLY,311.0,physical association
ISG15,ACOT8,311.0,physical association
ISG15,ACTA1,311.0,physical association
ISG15,ACTN1,311.0,physical association
ISG15,ACTN4,311.0,physical association
ISG15,AHNAK,311.0,physical association
ISG15,ALDOA,311.0,physical association
ISG15,ANXA2,311.0,physical association
ISG15,ANXA3,311.0,physical association
ISG15,ANXA5,311.0,physical association
ISG15,ARID5B,311.0,physical association
ISG15,ATIC,311.0,physical association
ISG15,ATP5A1,311.0,physical association
ISG15,ATP5B,311.0,physical association
ISG15,ATXN2,311.0,physical association
ISG15,ATXN2L,311.0,physical association
ISG15,CALD1,311.0,physical association
ISG15,CBX4,311.0,physical association
ISG15,CCNL1,311.0,physical association
ISG15,CCT2,311.0,physical association
ISG15,CCT3,311.0,physical association
ISG15,CCT4,311.0,physical association
ISG15,CFL1,311.0,physical association
ISG15,CHD1,311.0,physical association
ISG15,CHMP5,311.0,physical association
ISG15,CIRH1A,311.0,physical association
ISG15,CLIC1,311.0,physical association
ISG15,CLK1,311.0,physical association
ISG15,CLTC,311.0,physical association
ISG15,CREBBP,5.0,physical association
ISG15,CSNK2A1,311.0,physical association
ISG15,DDB2,311.0,physical association
ISG15,DDX17,311.0,physical association
ISG15,DDX42,311.0,physical association
ISG15,DDX58,311.0,physical association
ISG15,DNAJB1,311.0,physical association
ISG15,DYRK1A,311.0,physical association
ISG15,EEF1A2,311.0,physical association
ISG15,EEF1G,311.0,physical association
ISG15,EEF2,311.0,physical association
ISG15,EIF2AK2,311.0,physical association
ISG15,EIF4G1,311.0,physical association
ISG15,ELAVL1,311.0,physical association
ISG15,ENO1,311.0,physical association
ISG15,EP300,4.0,physical association
ISG15,EPPK1,311.0,physical association
ISG15,EZR,311.0,physical association
ISG15,FAM120C,311.0,physical association
ISG15,FARS2,311.0,physical association
ISG15,FASN,311.0,physical association
ISG15,FLNA,311.0,physical association
ISG15,FLNB,311.0,physical association
ISG15,FUBP3,311.0,physical association
ISG15,G3BP1,311.0,physical association
ISG15,GANAB,311.0,physical association
ISG15,GBP1,311.0,physical association
ISG15,GDI2,311.0,physical association
ISG15,GNB2L1,311.0,physical association
ISG15,GPI,311.0,physical association
ISG15,GSR,311.0,physical association
ISG15,GSTP1,311.0,physical association
ISG15,HERC5,311.0,physical association
ISG15,HNRNPA2B1,311.0,physical association
ISG15,HNRNPK,311.0,physical association
ISG15,HNRNPL,311.0,physical association
ISG15,HNRNPU,311.0,physical association
ISG15,HSP90AA1,311.0,physical association
ISG15,HSP90AB1,311.0,physical association
ISG15,HSPA1A,311.0,physical association
ISG15,HSPA8,311.0,physical association
ISG15,HSPD1,311.0,physical association
ISG15,IFIT1,311.0,physical association
ISG15,IFIT2,311.0,physical association
ISG15,IFIT3,311.0,physical association
ISG15,IFIT5,311.0,physical association
ISG15,IQGAP1,311.0,physical association
ISG15,IRF1,3.0,physical association
ISG15,IRF2,37.0,physical association
ISG15,IRF3,21.0,physical association
ISG15,IRF4,37.0,physical association
ISG15,IRF7,4.0,physical association
ISG15,IRF8,37.0,physical association
ISG15,IRF9,2.0,physical association
ISG15,KLF9,1.0,physical association
ISG15,LAP3,311.0,physical association
ISG15,LDHA,311.0,physical association
ISG15,LGMN,311.0,physical association
ISG15,LMAN2,311.0,physical association
ISG15,LMNA,311.0,physical association
ISG15,MAP4,311.0,physical association
ISG15,MED14,7.0,physical association
ISG15,MSN,311.0,physical association
ISG15,MX1,311.0,physical association
ISG15,MYH9,311.0,physical association
ISG15,MYNN,311.0,physical association
ISG15,MYOF,311.0,physical association
ISG15,NACA,311.0,physical association
ISG15,NFIX,311.0,physical association
ISG15,NUP43,311.0,physical association
ISG15,OGDH,311.0,physical association
ISG15,PAFAH1B1,311.0,physical association
ISG15,PFN1,311.0,physical association
ISG15,PGD,311.0,physical association
ISG15,PGK1,311.0,physical association
ISG15,PHGDH,311.0,physical association
ISG15,PKM,311.0,physical association
ISG15,PLEC,311.0,physical association
ISG15,PLOD1,311.0,physical association
ISG15,PLOD3,311.0,physical association
ISG15,PLS1,311.0,physical association
ISG15,PLS3,311.0,physical association
ISG15,PPP1R10,311.0,physical association
ISG15,PRDX1,311.0,physical association
ISG15,PSMA7,311.0,physical association
ISG15,PTBP1,311.0,physical association
ISG15,RAN,311.0,physical association
ISG15,RBBP4,311.0,physical association
ISG15,RDH11,311.0,physical association
ISG15,RELA,2.0,physical association
ISG15,RPL24,311.0,physical association
ISG15,RPL27A,311.0,physical association
ISG15,RPS27A,311.0,physical association
ISG15,SENP1,311.0,physical association
ISG15,SERBP1,311.0,physical association
ISG15,SERPINB5,311.0,physical association
ISG15,SF3A2,311.0,physical association
ISG15,SF3B4,311.0,physical association
ISG15,SIN3A,311.0,physical association
ISG15,SMAD4,311.0,physical association
ISG15,SNRNP200,311.0,physical association
ISG15,SPI1,37.0,physical association
ISG15,STAT1,311.0,physical association
ISG15,STAT2,7.0,physical association
ISG15,TAF2,311.0,physical association
ISG15,TAGLN,311.0,physical association
ISG15,TARS,311.0,physical association
ISG15,TKT,311.0,physical association
ISG15,TMOD3,311.0,physical association
ISG15,TOP2A,311.0,physical association
ISG15,TXNRD1,311.0,physical association
ISG15,UBA7,311.0,physical association
ISG15,UBAP2L,311.0,physical association
ISG15,UBE2L6,311.0,physical association
ISG15,UBE2N,311.0,physical association
ISG15,VCP,311.0,physical association
ISG15,VIM,311.0,physical association
ISG15,WARS,311.0,physical association
ISG15,WDR1,311.0,physical association
ISG15,WDR33,311.0,physical association
ISG15,WIBG,311.0,physical association
ISG15,XRCC5,311.0,physical association
ISG15,XRCC6,311.0,physical association
ISG15,YTHDC1,311.0,physical association
ISG15,ZC3H15,311.0,physical association
ISG15,ZC3HAV1,311.0,physical association
ISG15,ZNF281,311.0,physical association
AEN,AAMP,619.0,physical association
AEN,AES,619.0,physical association
BHLHE40,AAMP,619.0,physical association
BHLHE40,AANAT,619.0,physical association
BHLHE40,AES,619.0,physical association
NOD2,AAMP,1.0,physical association
NOD2,ACAP1,5.0,physical association
NOD2,ARHGEF7,5.0,physical association
NOD2,ATG16L1,2.0,physical association
NOD2,BID,8.0,physical association
NOD2,CAD,1.0,physical association
NOD2,CARD8,1.0,physical association
NOD2,CARD9,4.0,physical association
NOD2,CASP1,27.0,physical association
NOD2,CASP4,13.0,physical association
NOD2,COPS6,24.0,physical association
NOD2,DDX58,2.0,physical association
NOD2,DUOX2,2.0,physical association
NOD2,ERBB2IP,7.0,physical association
NOD2,HNRNPA1,6.0,physical association
NOD2,HSPA1A,5.0,physical association
NOD2,MAP3K14,2.0,physical association
NOD2,MAP3K7,9.0,physical association
NOD2,MAPK14,6.0,physical association
NOD2,NDUFA13,3.0,physical association
NOD2,NLRC4,27.0,physical association
NOD2,NLRP1,17.0,physical association
NOD2,NLRP3,17.0,physical association
NOD2,OAS2,4.0,physical association
NOD2,RAC1,5.0,physical association
NOD2,RELA,1.0,physical association
NOD2,RIPK2,17.0,physical association
NOD2,SQSTM1,6.0,physical association
NOD2,SUGT1,20.0,physical association
NOD2,TRIM27,28.0,physical association
NOD2,VDR,1.0,physical association
NOD2,XIAP,16.0,physical association
VPS52,AAMP,619.0,physical association
MDFI,AANAT,619.0,physical association
MDFI,BBS2,619.0,physical association
MDFI,GNAI2,3001.0,physical association
MDFI,IQUB,3001.0,physical association
MDFI,PGLS,3001.0,physical association
MDFI,RABL6,3001.0,physical association
MDFI,SIX1,3001.0,physical association
MDFI,ZBTB25,3001.0,physical association
AARS,UBB,3624.0,ubiquitination reaction
MDM2,AATF,9.0,physical association
MDM2,AKT1,2.0,phosphorylation reaction
MDM2,EGR1,11.0,physical association
MDM2,EP300,46.0,physical association
MDM2,HIF1A,4.0,physical association
MDM2,HNRNPK,28.0,physical association
MDM2,IRF2,7.0,physical association
MDM2,RELA,5.0,physical association
MDM2,TBP,5.0,physical association
MDM2,TP53,10.0,physical association
AATF,PIN1,9.0,physical association
APOA1,ABCA1,1.0,physical association
APOA1,CMTM5,619.0,physical association
APOA1,IL7R,111.0,physical association
APOA1,LGALS8,20.0,physical association
EGR1,ABCA1,137.0,physical association
EGR1,ABCC12,272.0,physical association
EGR1,ABHD2,137.0,physical association
EGR1,ABL1,137.0,physical association
EGR1,ABLIM2,60.0,physical association
EGR1,ACAD9,137.0,physical association
EGR1,ADAR,272.0,physical association
EGR1,ADK,272.0,physical association
EGR1,AFF1,137.0,physical association
EGR1,AGL,137.0,physical association
EGR1,AGXT2,272.0,physical association
EGR1,AHI1,137.0,physical association
EGR1,AKAP9,272.0,physical association
EGR1,AKT1,137.0,physical association
EGR1,ALKBH1,272.0,physical association
EGR1,AMER1,137.0,physical association
EGR1,ANKRD7,272.0,physical association
EGR1,ANP32D,272.0,physical association
EGR1,APBA2,272.0,physical association
EGR1,APOL4,272.0,physical association
EGR1,AR,20.0,physical association
EGR1,ARL4A,137.0,physical association
EGR1,ARRB1,60.0,physical association
EGR1,ART4,272.0,physical association
EGR1,ASH1L,272.0,physical association
EGR1,ATAD2,137.0,physical association
EGR1,ATF4,137.0,physical association
EGR1,ATG12,272.0,physical association
EGR1,ATP5H,272.0,physical association
EGR1,BAALC,137.0,physical association
EGR1,BAX,60.0,physical association
EGR1,BAZ2A,272.0,physical association
EGR1,BBC3,272.0,physical association
EGR1,BCL2L14,272.0,physical association
EGR1,BCL9L,60.0,physical association
EGR1,BCLAF1,137.0,physical association
EGR1,BLK,272.0,physical association
EGR1,BLZF1,272.0,physical association
EGR1,BMF,272.0,physical association
EGR1,BMP4,272.0,physical association
EGR1,BMP6,60.0,physical association
EGR1,BRCA1,137.0,physical association
EGR1,C1GALT1,272.0,physical association
EGR1,C1QB,272.0,physical association
EGR1,C1QTNF2,272.0,physical association
EGR1,C1orf21,272.0,physical association
EGR1,C22orf46,272.0,physical association
EGR1,C4orf6,272.0,physical association
EGR1,C9orf3,60.0,physical association
EGR1,CALR,137.0,physical association
EGR1,CAMK1G,272.0,physical association
EGR1,CAMLG,137.0,physical association
EGR1,CAMSAP1,272.0,physical association
EGR1,CASP1,272.0,physical association
EGR1,CASP7,272.0,physical association
EGR1,CBL,137.0,physical association
EGR1,CBX4,272.0,physical association
EGR1,CCDC28B,272.0,physical association
EGR1,CCDC47,272.0,physical association
EGR1,CCDC94,272.0,physical association
EGR1,CCKBR,272.0,physical association
EGR1,CD164,137.0,physical association
EGR1,CD1E,272.0,physical association
EGR1,CD40LG,272.0,physical association
EGR1,CD44,3.0,physical association
EGR1,CD68,60.0,physical association
EGR1,CD9,60.0,physical association
EGR1,CDCA2,137.0,physical association
EGR1,CDH16,60.0,physical association
EGR1,CDH3,272.0,physical association
EGR1,CDH5,2.0,physical association
EGR1,CDK2,272.0,physical association
EGR1,CDK4,137.0,physical association
EGR1,CDK5R1,1.0,physical association
EGR1,CDK6,137.0,physical association
EGR1,CDK8,272.0,physical association
EGR1,CDKN1A,4.0,physical association
EGR1,CDKN1B,272.0,physical association
EGR1,CDKN3,137.0,physical association
EGR1,CGREF1,272.0,physical association
EGR1,CHD1,272.0,physical association
EGR1,CHMP2B,272.0,physical association
EGR1,CHRNA2,272.0,physical association
EGR1,CITED4,272.0,physical association
EGR1,CLDN1,272.0,physical association
EGR1,CLDN3,272.0,physical association
EGR1,CLK4,137.0,physical association
EGR1,CLPS,272.0,physical association
EGR1,CLSPN,137.0,physical association
EGR1,CMA1,272.0,physical association
EGR1,CNBP,137.0,physical association
EGR1,CNOT2,272.0,physical association
EGR1,CNPY3,137.0,physical association
EGR1,COL16A1,60.0,physical association
EGR1,COLGALT2,272.0,physical association
EGR1,COMMD3-BMI1,3.0,physical association
EGR1,COPZ2,60.0,physical association
EGR1,COX20,272.0,physical association
EGR1,CPNE6,272.0,physical association
EGR1,CREB1,171.0,physical association
EGR1,CREB3,60.0,physical association
EGR1,CREBBP,11.0,physical association
EGR1,CRTAM,272.0,physical association
EGR1,CRYGA,272.0,physical association
EGR1,CRYM,272.0,physical association
EGR1,CSF3,272.0,physical association
EGR1,CSTB,272.0,physical association
EGR1,CTRL,272.0,physical association
EGR1,CXCL8,4.0,physical association
EGR1,CXCL9,272.0,physical association
EGR1,CYP4F11,272.0,physical association
EGR1,CYP51A1,137.0,physical association
EGR1,CYSLTR1,272.0,physical association
EGR1,DAPK1,137.0,physical association
EGR1,DCTN4,272.0,physical association
EGR1,DDX10,137.0,physical association
EGR1,DEGS1,272.0,physical association
EGR1,DMRT1,272.0,physical association
EGR1,DMTF1,137.0,physical association
EGR1,DNM1,60.0,physical association
EGR1,DNMT3A,272.0,physical association
EGR1,DPY19L2,272.0,physical association
EGR1,DVL2,272.0,physical association
EGR1,DYDC2,272.0,physical association
EGR1,DYNC1I1,272.0,physical association
EGR1,DYRK2,272.0,physical association
EGR1,E2F5,60.0,physical association
EGR1,EFCAB6,272.0,physical association
EGR1,EGFR,272.0,physical association
EGR1,EGR2,272.0,physical association
EGR1,EGR3,10.0,physical association
EGR1,ELF2,272.0,physical association
EGR1,ELOF1,272.0,physical association
EGR1,EMC2,272.0,physical association
EGR1,EN1,272.0,physical association
EGR1,ENG,60.0,physical association
EGR1,EP300,46.0,physical association
EGR1,EPHB1,272.0,physical association
EGR1,ERAP1,272.0,physical association
EGR1,ERLIN1,60.0,physical association
EGR1,ETF1,60.0,physical association
EGR1,ETNK2,272.0,physical association
EGR1,ETS2,272.0,physical association
EGR1,ETV5,137.0,physical association
EGR1,EVL,60.0,physical association
EGR1,EZH2,3.0,physical association
EGR1,FAH,272.0,physical association
EGR1,FAS,137.0,physical association
EGR1,FASLG,272.0,physical association
EGR1,FKBP5,137.0,physical association
EGR1,FOLH1,4.0,physical association
EGR1,FOSL2,272.0,physical association
EGR1,FOXA3,60.0,physical association
EGR1,FOXF2,60.0,physical association
EGR1,FUT1,137.0,physical association
EGR1,GABPA,137.0,physical association
EGR1,GADD45B,137.0,physical association
EGR1,GBA2,272.0,physical association
EGR1,GBP2,272.0,physical association
EGR1,GCLC,137.0,physical association
EGR1,GDAP1,272.0,physical association
EGR1,GDF5,272.0,physical association
EGR1,GGPS1,272.0,physical association
EGR1,GLI2,272.0,physical association
EGR1,GLUL,272.0,physical association
EGR1,GLYCTK,60.0,physical association
EGR1,GMPS,272.0,physical association
EGR1,GNG5,272.0,physical association
EGR1,GOLPH3L,272.0,physical association
EGR1,GPN3,272.0,physical association
EGR1,GPR63,272.0,physical association
EGR1,GRB2,137.0,physical association
EGR1,GSDMB,272.0,physical association
EGR1,GSTA3,272.0,physical association
EGR1,GTPBP4,272.0,physical association
EGR1,GUK1,137.0,physical association
EGR1,GYS1,272.0,physical association
EGR1,H2AFV,137.0,physical association
EGR1,H3F3A,272.0,physical association
EGR1,HADHA,272.0,physical association
EGR1,HAS1,272.0,physical association
EGR1,HAX1,137.0,physical association
EGR1,HBP1,137.0,physical association
EGR1,HDAC1,137.0,physical association
EGR1,HDAC2,137.0,physical association
EGR1,HDAC9,272.0,physical association
EGR1,HECTD3,272.0,physical association
EGR1,HERC5,272.0,physical association
EGR1,HHEX,137.0,physical association
EGR1,HIF1A,2.0,physical association
EGR1,HK1,272.0,physical association
EGR1,HLX,272.0,physical association
EGR1,HMGCS1,137.0,physical association
EGR1,HMMR,137.0,physical association
EGR1,HNRNPK,137.0,physical association
EGR1,HOXA2,272.0,physical association
EGR1,HOXB4,60.0,physical association
EGR1,HOXB7,272.0,physical association
EGR1,HSD17B2,272.0,physical association
EGR1,HSF4,272.0,physical association
EGR1,HTN3,272.0,physical association
EGR1,IDS,137.0,physical association
EGR1,IFITM2,272.0,physical association
EGR1,IFNGR1,137.0,physical association
EGR1,IGSF8,60.0,physical association
EGR1,IKBKG,137.0,physical association
EGR1,IL11RA,272.0,physical association
EGR1,IL15,272.0,physical association
EGR1,IL18R1,272.0,physical association
EGR1,IL1A,272.0,physical association
EGR1,IL1R1,272.0,physical association
EGR1,IL2,40.0,physical association
EGR1,IL27,60.0,physical association
EGR1,IL4,10.0,physical association
EGR1,IMPDH2,137.0,physical association
EGR1,ISL2,272.0,physical association
EGR1,ITGA5,272.0,physical association
EGR1,ITM2C,272.0,physical association
EGR1,ITPK1,272.0,physical association
EGR1,IVNS1ABP,272.0,physical association
EGR1,JUN,137.0,physical association
EGR1,KANK2,272.0,physical association
EGR1,KATNA1,272.0,physical association
EGR1,KCNK2,272.0,physical association
EGR1,KCNK3,272.0,physical association
EGR1,KDM3A,137.0,physical association
EGR1,KDSR,272.0,physical association
EGR1,KHSRP,272.0,physical association
EGR1,KIF15,137.0,physical association
EGR1,KIF20A,137.0,physical association
EGR1,KIF2C,137.0,physical association
EGR1,KIF5C,272.0,physical association
EGR1,KIR2DL3,272.0,physical association
EGR1,KIR2DL4,272.0,physical association
EGR1,KISS1R,272.0,physical association
EGR1,KITLG,137.0,physical association
EGR1,KLF10,60.0,physical association
EGR1,KLF11,60.0,physical association
EGR1,KLF2,60.0,physical association
EGR1,KLF4,60.0,physical association
EGR1,KLF5,60.0,physical association
EGR1,KMT2B,137.0,physical association
EGR1,KMT2E,137.0,physical association
EGR1,KRT14,272.0,physical association
EGR1,KRT16,272.0,physical association
EGR1,KRT17,137.0,physical association
EGR1,KRT85,272.0,physical association
EGR1,KRT86,272.0,physical association
EGR1,KRTAP12-1,272.0,physical association
EGR1,L3MBTL1,137.0,physical association
EGR1,LDOC1,272.0,physical association
EGR1,LEF1,60.0,physical association
EGR1,LIG1,137.0,physical association
EGR1,LIMK1,272.0,physical association
EGR1,LONP1,272.0,physical association
EGR1,LPAR3,272.0,physical association
EGR1,LPXN,272.0,physical association
EGR1,LRP2,272.0,physical association
EGR1,LRRC29,60.0,physical association
EGR1,LYL1,171.0,physical association
EGR1,MAGI2,272.0,physical association
EGR1,MAP2,272.0,physical association
EGR1,MAP2K1,272.0,physical association
EGR1,MAP2K2,137.0,physical association
EGR1,MAP2K5,272.0,physical association
EGR1,MAP3K7,272.0,physical association
EGR1,MAP3K8,137.0,physical association
EGR1,MAP4,272.0,physical association
EGR1,MAP7,272.0,physical association
EGR1,MAPK1,137.0,physical association
EGR1,MAX,272.0,physical association
EGR1,MCHR1,272.0,physical association
EGR1,MCM6,137.0,physical association
EGR1,MCM7,60.0,physical association
EGR1,MEF2D,60.0,physical association
EGR1,METTL7B,137.0,physical association
EGR1,MGARP,272.0,physical association
EGR1,MIIP,137.0,physical association
EGR1,MIR10A,40.0,physical association
EGR1,MIR124-3,40.0,physical association
EGR1,MIR125A,40.0,physical association
EGR1,MIR130B,40.0,physical association
EGR1,MIR132,40.0,physical association
EGR1,MIR135B,60.0,physical association
EGR1,MIR141,40.0,physical association
EGR1,MIR142,40.0,physical association
EGR1,MIR146B,40.0,physical association
EGR1,MIR148A,40.0,physical association
EGR1,MIR149,40.0,physical association
EGR1,MIR152,40.0,physical association
EGR1,MIR17HG,40.0,physical association
EGR1,MIR183,40.0,physical association
EGR1,MIR185,40.0,physical association
EGR1,MIR191,40.0,physical association
EGR1,MIR199B,40.0,physical association
EGR1,MIR200B,40.0,physical association
EGR1,MIR212,40.0,physical association
EGR1,MIR219A2,40.0,physical association
EGR1,MIR23A,40.0,physical association
EGR1,MIR23B,40.0,physical association
EGR1,MIR24-2,40.0,physical association
EGR1,MIR25,40.0,physical association
EGR1,MIR27A,40.0,physical association
EGR1,MIR301B,40.0,physical association
EGR1,MIR30E,40.0,physical association
EGR1,MIR32,40.0,physical association
EGR1,MIR326,40.0,physical association
EGR1,MIR335,40.0,physical association
EGR1,MIR425,40.0,physical association
EGR1,MIR455,40.0,physical association
EGR1,MIR596,40.0,physical association
EGR1,MIR642A,40.0,physical association
EGR1,MIR92B,40.0,physical association
EGR1,MIR95,40.0,physical association
EGR1,MIR96,40.0,physical association
EGR1,MIR99B,40.0,physical association
EGR1,MKL1,137.0,physical association
EGR1,MLLT10,60.0,physical association
EGR1,MLLT11,137.0,physical association
EGR1,MMP9,272.0,physical association
EGR1,MOAP1,60.0,physical association
EGR1,MRPS30,272.0,physical association
