id,type
CD69,receptor
CD70,receptor
CD72,receptor
CTLA4,protein
CD81,receptor
LST1,protein
CD82,receptor
CD83,receptor
CHUK,protein
FGG,protein
PSEN1,protein
IL16,cytokine
NFKB2,protein
ELK1,protein
RARA,protein
CSF2RB,protein
TLR9,receptor
IL4,cytokine
SOD1,protein
TSLP,protein
MIR146A,protein
LCP1,protein
RAD21,protein
HSPA1B,protein
HSPB1,protein
HSPD1,protein
MIR16-1,protein
IL2RB,receptor
CISH,protein
TLR4,receptor
TRAF5,protein
IL1RAPL1,receptor
IL2,cytokine
SPI1,protein
SOCS3,protein
LDHB,protein
GNB2L1,protein
CXCL5,cytokine
CXCL6,cytokine
LASP1,protein
GTF3A,protein
PPBP,protein
ST13,protein
FTH1,protein
GNA11,protein
HADHA,protein
JAK2,protein
KTN1,protein
MOGS,protein
NPM1,protein
NRF1,protein
PIK3CG,protein
PLEC,protein
PPIA,protein
USF2,protein
NFATC3,protein
CXCR5,receptor
ELF1,protein
CYBB,protein
DAB2IP,protein
DBNL,protein
DCN,protein
DDX5,protein
TUBB,protein
SFTPD,protein
TSC1,protein
ILF3,protein
ECH1,protein
EEF2,protein
ELOF1,protein
ETS2,protein
IL15,cytokine
KRT85,protein
EIF1,protein
GFI1,protein
MSN,protein
ELOVL1,protein
MYH9,protein
TRIP6,protein
ENO2,protein
ERC1,protein
PEBP1,protein
F2RL1,protein
FYN,protein
GATA1,protein
GATA2,protein
FCGR2A,protein
MZF1,protein
LGALS3BP,protein
YWHAG,protein
FREM1,protein
PRKCD,protein
IL13,cytokine
IL2RA,receptor
IL5,cytokine
GLI2,protein
GPR75-ASB3,protein
IL6ST,protein
PTK2,protein
TRAP1,protein
IL1A,protein
TF,protein
HLA-DRA,protein
HMGA1,protein
STAT6,protein
VIM,protein
HNRNPA1,protein
HSP90AB1,protein
HSP90B1,protein
HSPA14,protein
HSPA1A,protein
HSPA5,protein
HSPA9,protein
PLP2,protein
TTR,protein
STAT4,protein
IL2RG,receptor
IL13RA1,protein
TICAM2,protein
IL1R1,receptor
IL1R2,receptor
IL1RAP,receptor
IRAK4,protein
TMED7,protein
IL21,cytokine
IL3,cytokine
POU2F1,protein
PXN,protein
IL5RA,receptor
ZFP91,protein
IL7,cytokine
PDIA3,protein
PSME1,protein
PSME2,protein
TUBA3C,protein
TUBA8,protein
TUBB6,protein
IL9R,receptor
SIGIRR,protein
VASP,protein
RNF216,protein
ITGA4,protein
JAK1,protein
KRT31,protein
KRT36,protein
KRT8,protein
KRT82,protein
TNFRSF14,receptor
LY86,protein
LYAR,protein
MAL,protein
TXN,protein
TAB3,protein
TNFRSF11A,receptor
MAPKAP1,protein
MIR29A,protein
PFN1,protein
UBQLN1,protein
MYL6,protein
NEU1,protein
NOX4,protein
NSFL1C,protein
TREM1,protein
TLR5,receptor
TFG,protein
TNFSF15,protein
RALBP1,protein
TNFRSF10C,receptor
RXRA,protein
RPSA,protein
RPS27A,protein
VCL,protein
SFTPA1,protein
SFTPA2,protein
SNAPIN,protein
SRI,protein
VRK3,protein
TNFRSF1B,receptor
TNFSF12,protein
TNFRSF13C,receptor
TNFRSF17,receptor
TNFRSF18,receptor
TNFRSF25,receptor
TNFRSF4,receptor
TNFRSF8,receptor
TNFRSF9,receptor
TPM3,protein
TPM4,protein
TUBA1A,protein
TUBA1B,protein
TUBA1C,protein
TUBA4A,protein
UBA1,protein
CCL21,cytokine
IL6R,receptor
PDIA6,protein
PHB2,protein
VCP,protein
GORASP2,protein
CD40LG,protein
CEBPA,protein
MAPRE1,protein
APH1A,protein
APRT,protein
CD74,receptor
ARFGEF2,protein
ARPC3,protein
USF1,protein
PSMD2,protein
RAP1A,protein
BSG,protein
C4B,protein
TNFRSF13B,receptor
CD247,receptor
CCR6,receptor
DEFB103B,protein
DEFB106A,protein
CCR9,receptor
CCS,protein
CCT3,protein
CD47,receptor
CD55,receptor
FCGR1A,protein
FCGR3A,protein
CD164,receptor
CD2,receptor
PTPRC,protein
CD244,receptor
PDCD1,protein
CD28,receptor
CD37,receptor
HYAL2,protein
ROCK1,protein
CD48,receptor
FLI1,protein
CD7,receptor
CD80,receptor
CD84,receptor
FLNA,protein
SP3,protein
CLIC1,protein
EZR,protein
CNPY3,protein
DROSHA,protein
ILF2,protein
P4HB,protein
SOD2,protein
FUT7,protein
CXCL12,cytokine
NCSTN,protein
TMED2,protein
DNAH5,protein
NIPSNAP1,protein
PPP2R1A,protein
CXCR3,receptor
CXCR6,receptor
DGCR8,protein
DHX36,protein
DHX8,protein
ECHS1,protein
ENO1,protein
STK11IP,protein
ERP29,protein
TUBB4B,protein
F13A1,protein
IL1RL1,receptor
IL1RL2,receptor
GLDC,protein
GSN,protein
GSTP1,protein
TUBB3,protein
HSPA1L,protein
HSPA6,protein
PRDX3,protein
IL1RN,receptor
ITGA2B,protein
LGALSL,protein
MTPN,protein
MYL1,protein
MYL3,protein
NAPA,protein
PARK7,protein
PDLIM1,protein
PLEK,protein
PRDX2,protein
PRDX6,protein
PSMA5,protein
SH3BGRL,protein
TAGLN2,protein
TUBB1,protein
TUBB2A,protein
TUBB4A,protein
TUBBP1,protein
ZYX,protein
MIR21,protein
LTA,protein
LUC7L3,protein
MARCKSL1,protein
MIR105-1,protein
MIRLET7B,protein
TNFRSF12A,receptor
TNFSF4,protein
Macrophage,cell
Dendritic_cell,cell
T_cell,cell
B_cell,cell
