id,type
SMARCA2,protein
TLR9,receptor
CSF1R,protein
CSH1,protein
CYP3A4,protein
DUSP1,protein
GABPA,protein
HES1,protein
HOMER3,protein
IGFBP1,protein
IGFBP3,protein
IL12B,protein
IL18BP,protein
IL4,cytokine
INHBE,protein
MMP13,protein
PRG2,protein
SLC19A1,protein
SUMO1,protein
CLIC4,protein
CNTNAP5,protein
CRP,protein
CTNNAL1,protein
CYP19A1,protein
DNAJC18,protein
DNMT1,protein
DNMT3A,protein
DNMT3B,protein
ENSG00000125695,protein
ESR1,protein
FRAT1,protein
GPD1L,protein
HDAC4,protein
HIST2H3C,protein
HOXB4,protein
IGSF22,protein
ING4,protein
IRGQ,protein
JAG1,protein
LBR,protein
LDLR,protein
LTBP1,protein
MAFB,protein
MLF1,protein
MPDZ,protein
MPP6,protein
MSRB3,protein
NF2,protein
OMA1,protein
PDE3B,protein
PGRMC1,protein
PLCB1,protein
PTGS2,protein
PTTG1,protein
RHNO1,protein
RNF144B,protein
SCN4B,protein
SLC1A5,protein
SLITRK5,protein
SOD1,protein
SOSTDC1,protein
SOX2,protein
SPEN,protein
TBRG1,protein
TMBIM6,protein
TOP2A,protein
TRPM2,protein
TSLP,protein
TXNDC11,protein
ULBP2,protein
USP50,protein
ZEB1,protein
ZNF510,protein
ZNF600,protein
ZNF721,protein
CEBPG,protein
CEBPZ,protein
CELF1,protein
CELSR3,protein
CENPE,protein
LAG3,protein
CFAP44,protein
FOXO3,protein
KLK1,protein
MIR146A,protein
LCP1,protein
RAD21,protein
FAS,protein
COPS5,protein
CTCF,protein
MYO5B,protein
NEDD4,protein
RAB11A,protein
RAB27A,protein
SLC26A3,protein
SLC4A7,protein
SLC9A3R2,protein
STX8,protein
VTI1B,protein
CGREF1,protein
CHAC1,protein
CHD1,protein
CHD3,protein
MTA1,protein
CHD8,protein
CHEK1,protein
CHIC2,protein
CHMP2B,protein
CHP1,protein
CHP2,protein
CHRD,protein
CHRM1,protein
CHRM5,protein
CHRNA2,protein
CSF2RA,protein
CUEDC2,protein
DNAJA3,protein
EBAG9,protein
ETS1,protein
FANCA,protein
H3F3A,protein
HSPA1B,protein
HSPB1,protein
HSPD1,protein
IKBKE,protein
IRS1,protein
MAP3K1,protein
MAP3K11,protein
MAP3K8,protein
MIR16-1,protein
MLST8,protein
NCOA3,protein
NLRC5,protein
PPM1B,protein
PRKCQ,protein
PRKRA,protein
PYDC1,protein
SASH1,protein
TNFAIP3,protein
TRIM27,protein
TRIO,protein
TRPC4AP,protein
PRKDC,protein
CIDEC,protein
CIR1,protein
EPOR,protein
GHR,protein
IL2RB,receptor
MIR98,protein
CISH,protein
PRLR,protein
CLDN12,protein
CLDN3,protein
CLDN5,protein
CLEC1B,protein
CLEC6A,protein
ENSG00000173366,protein
CLIC5,protein
CLINT1,protein
CLIP1,protein
CLK2,protein
FADS2,protein
CLPX,protein
CLU,protein
CLUAP1,protein
CMPK1,protein
EMD,protein
CNOT8,protein
TLR4,receptor
TRAF5,protein
NFYB,protein
NFYC,protein
COL14A1,protein
DDR1,protein
COL1A1,protein
COL1A2,protein
COL4A5,protein
DUSP14,protein
HIST1H2AE,protein
HIST1H2BB,protein
MRM1,protein
TAF15,protein
COPB1,protein
COPS3,protein
COPS2,protein
GPS1,protein
RORA,protein
CORO1A,protein
NR1H2,protein
CPNE6,protein
CPSF2,protein
CPSF6,protein
WWP1,protein
IFNA1,cytokine
RBPJ,protein
CRTC3,protein
CSMD3,protein
DBR1,protein
DCC,protein
DHTKD1,protein
DLD,protein
DLX5,protein
DLX6,protein
DTWD1,protein
EME1,protein
ERAS,protein
FAM227B,protein
FANCD2,protein
GMFB,protein
GREB1L,protein
HIST1H2BC,protein
HIST1H4H,protein
HOXD13,protein
HOXD3,protein
HOXD4,protein
ID1,protein
IL1RAPL1,receptor
IL2,cytokine
INTS2,protein
IRX1,protein
KAT2B,protein
KAT8,protein
KIR3DL1,protein
LGI2,protein
LIAS,protein
LRPAP1,protein
MAF,protein
MAPKBP1,protein
ME3,protein
MEIS1,protein
MIER3,protein
MKL1,protein
MMP25,protein
MRPL27,protein
MSL3,protein
MUC5B,protein
MYRIP,protein
NR4A2,protein
ORMDL3,protein
PCSK1N,protein
PIH1D2,protein
PLIN3,protein
PMAIP1,protein
PRDM8,protein
R3HDM1,protein
RAB4B,protein
RFX2,protein
RPL9,protein
SEC61A2,protein
SETD9,protein
SLC2A11,protein
SLU7,protein
TRH,protein
ZIC5,protein
ZNF425,protein
ZNF524,protein
ZNF665,protein
ZNF677,protein
ZRANB3,protein
TSPO,protein
CREB3L2,protein
CRELD2,protein
CSF2,cytokine
CREM,protein
CRIPT,protein
FCN2,protein
CRYM,protein
SPI1,protein
HNRNPC,protein
SDC2,protein
SOCS3,protein
CSK,protein
CSNK1G2,protein
GCH1,protein
MECOM,protein
CSNK2B,protein
TAF7,protein
CSPG4,protein
CSTB,protein
CSTF2,protein
PNN,protein
ZBP1,protein
CTBP2,protein
ZMYND10,protein
CTCFL,protein
ERBB2,protein
FGF20,protein
HNRNPA2B1,protein
HNRNPM,protein
LDHB,protein
PKD1,protein
RPLP2,protein
SDCBP,protein
SNRPD1,protein
SOX17,protein
SPN,protein
TCF7L2,protein
WDHD1,protein
NFKBIL1,protein
CTR9,protein
CTRL,protein
RARRES2,protein
CTTN,protein
PLCG2,protein
PPP1R15A,protein
DCUN1D1,protein
FBXO25,protein
FBXO27,protein
FBXO31,protein
FBXO4,protein
FBXO44,protein
FBXO6,protein
SARS2,protein
TRIM21,protein
ZC3HC1,protein
FEM1B,protein
GNB2L1,protein
LRR1,protein
KEAP1,protein
RAB40C,protein
SPSB2,protein
WSB1,protein
FBXW8,protein
CUL7,protein
CUX2,protein
CX3CR1,protein
CX3CL1,protein
CXCL10,cytokine
PIAS1,protein
CXCL11,cytokine
CXCL2,cytokine
CXCL3,cytokine
CXCL5,cytokine
CXCL6,cytokine
CXCL9,cytokine
LASP1,protein
GTF3A,protein
PPBP,protein
ST13,protein
FTH1,protein
GNA11,protein
HADHA,protein
JAK2,protein
KTN1,protein
MOGS,protein
NPM1,protein
NRF1,protein
PIK3CG,protein
PLEC,protein
PPIA,protein
USF2,protein
NFATC3,protein
CXCR5,receptor
CYB5A,protein
KIAA0226,protein
ELF1,protein
CYBB,protein
HOXA9,protein
PLA2G4A,protein
CYCS,protein
CYLD,protein
MIR362,protein
RNF31,protein
TRPA1,protein
CYP1A1,protein
SIN3A,protein
CYP3A7,protein
CYP4F11,protein
CYP51A1,protein
CYTH1,protein
CYTIP,protein
DAB2IP,protein
DAK,protein
DAP,protein
DAPK3,protein
DAXX,protein
DBI,protein
SOX11,protein
DBNL,protein
DCD,protein
DCHS2,protein
DCN,protein
DCTN1,protein
MAPK8IP3,protein
DDAH1,protein
DDB1,protein
IL23A,protein
DDX17,protein
DDX24,protein
DDX5,protein
EIF3B,protein
EIF3E,protein
DDX3Y,protein
DDX52,protein
PCBP1,protein
PCBP2,protein
RNF125,protein
ZC3HAV1,protein
DDX6,protein
DDX60,protein
MMP14,protein
DEFA1,protein
DEFB1,protein
DEFB103A,protein
DES,protein
MIR145,protein
DGCR6,protein
RASGRP1,protein
FADS1,protein
DHRS3,protein
DHRS7,protein
OAS3,protein
DHX33,protein
DIAPH1,protein
E2F5,protein
TUBB,protein
TNIP1,protein
DLEU1,protein
DLG1,protein
DLG2,protein
DLG4,protein
DLGAP1-AS1,protein
EP400,protein
EPC1,protein
RUVBL1,protein
RUVBL2,protein
SRCAP,protein
TRRAP,protein
DMAP1,protein
YEATS4,protein
SFTPD,protein
DMD,protein
DMRT1,protein
DMTF1,protein
DNAJB11,protein
DNAJC15,protein
DNAJC3,protein
TSC1,protein
DOCK9,protein
ITGB7,protein
DPEP1,protein
DPP6,protein
DPP10,protein
DPP4,protein
DPP8,protein
DPY19L2,protein
DR1,protein
DRAM1,protein
DRD4,protein
DRG1,protein
DSP,protein
DSPP,protein
UBE2D4,protein
DUOX2,protein
ILF3,protein
PAF1,protein
RTF1,protein
TIA1,protein
MAPK14,protein
DUSP15,protein
DUSP16,protein
DUSP4,protein
DUSP5,protein
DUT,protein
DVL2,protein
DVL3,protein
DYNC1H1,protein
DYNC1I1,protein
DYRK1A,protein
DYRK1B,protein
DYRK2,protein
FGFR2,protein
LAPTM4B,protein
MFAP1,protein
PA2G4,protein
PDK4,protein
PHB,protein
PHF8,protein
RECQL4,protein
THBS1,protein
TIMELESS,protein
ULK1,protein
E2F3,protein
E2F6,protein
EBI3,protein
EBP,protein
ECH1,protein
ECSIT,protein
GTF2I,protein
ITGAE,protein
EEF2,protein
EFCAB6,protein
EFEMP2,protein
EFHD2,protein
EFNA2,protein
ITGB4,protein
SOCS4,protein
EGLN1,protein
EGLN3,protein
HIF1AN,protein
EGLN2,protein
ELF2,protein
ELOF1,protein
EMC2,protein
ETS2,protein
EVL,protein
FAH,protein
FOSL2,protein
GADD45B,protein
GDAP1,protein
GLYCTK,protein
GSDMB,protein
GTPBP4,protein
H2AFV,protein
HBP1,protein
HDAC9,protein
HERC5,protein
HMGCS1,protein
HOXA2,protein
HOXB7,protein
HSD17B2,protein
HSF4,protein
HTN3,protein
IFITM2,protein
IL15,cytokine
